标题,iF,分区
CA-A CANCER JOURNAL FOR CLINICIANS,292.278,Q1
NEW ENGLAND JOURNAL OF MEDICINE,74.699,Q1
Nature Reviews Materials,71.189,Q1 Q1Q1
NATURE REVIEWS DRUG DISCOVERY,64.797,Q1 Q1Q1
LANCET,60.39,Q1
NATURE REVIEWS MOLECULAR CELL BIOLOGY,55.47,Q1
Nature Reviews Clinical Oncology,53.276,Q1
NATURE REVIEWS CANCER,53.03,Q1
CHEMICAL REVIEWS,52.76,Q1
Nature Energy,46.495,Q1 Q1Q1
JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,45.54,Q1
REVIEWS OF MODERN PHYSICS,45.049,Q1
CHEMICAL SOCIETY REVIEWS,42.846,Q1
NATURE,42.779,Q1
SCIENCE,41.846,Q1
Nature Reviews Disease Primers,40.689,Q1
World Psychiatry,40.595,Q1 Q1Q1
NATURE REVIEWS IMMUNOLOGY,40.358,Q1
NATURE MATERIALS,38.663,Q1 Q1Q1Q1Q1
CELL,38.637,Q1 Q1Q1
NATURE BIOTECHNOLOGY,36.553,Q1
NATURE MEDICINE,36.13,Q1 Q1Q1Q1
Living Reviews in Relativity,35.429,Q1
Nature Reviews Chemistry,34.953,Q1
NATURE REVIEWS MICROBIOLOGY,34.209,Q1
LANCET ONCOLOGY,33.752,Q1
NATURE REVIEWS NEUROSCIENCE,33.654,Q1
NATURE REVIEWS GENETICS,33.133,Q1
Annual Review of Astronomy and Astrophysics,33,Q1
JOURNAL OF CLINICAL ONCOLOGY,32.956,Q1
PROGRESS IN MATERIALS SCIENCE,31.56,Q1
Nature Nanotechnology,31.538,Q1 Q1Q1
Nature Photonics,31.241,Q1 Q1Q1
NATURE METHODS,30.822,Q1
Nature Catalysis,30.471,Q1
BMJ-British Medical Journal,30.313,Q1
Energy & Environmental Science,30.289,Q1 Q1Q1Q1Q1
LANCET NEUROLOGY,30.039,Q1
Nature Reviews Gastroenterology & Hepatology,29.869,Q1
Cancer Discovery,29.497,Q1
Joule,29.155,Q1 Q1Q1Q1
PROGRESS IN ENERGY AND COMBUSTION SCIENCE,28.938,Q1 Q1Q1Q1Q1
Nature Reviews Endocrinology,28.8,Q1
NATURE GENETICS,27.605,Q1
Nature Electronics,27.5,Q1
ADVANCED MATERIALS,27.398,Q1 Q1Q1Q1Q1Q1Q1
Nature Reviews Neurology,27,Q1
MATERIALS SCIENCE & ENGINEERING R-REPORTS,26.625,Q1 Q1Q1
CANCER CELL,26.602,Q1 Q1Q1
Materials Today,26.416,Q1
PHYSICS REPORTS-REVIEW SECTION OF PHYSICS LETTERS,25.809,Q1
Annual Review of Biochemistry,25.787,Q1
PHYSIOLOGICAL REVIEWS,25.588,Q1
Lancet Diabetes & Endocrinology,25.34,Q1
Advanced Energy Materials,25.245,Q1 Q1Q1Q1Q1Q1
Lancet Respiratory Medicine,25.094,Q1 Q1Q1
JAMA Oncology,24.799,Q1
LANCET INFECTIOUS DISEASES,24.446,Q1
IEEE Communications Surveys and Tutorials,23.7,Q1 Q1Q1
CIRCULATION,23.603,Q1 Q1Q1
EUROPEAN HEART JOURNAL,22.673,Q1
PROGRESS IN POLYMER SCIENCE,22.62,Q1
CLINICAL MICROBIOLOGY REVIEWS,22.556,Q1
IMMUNITY,22.553,Q1
Nature Chemistry,21.687,Q1
Lancet Global Health,21.597,Q1 Q1Q1
Cell Metabolism,21.567,Q1 Q1Q1
REVIEWS OF GEOPHYSICS,21.449,Q1
ANNALS OF INTERNAL MEDICINE,21.317,Q1
Nature Climate Change,20.893,Q1 Q1Q1Q1
Cell Stem Cell,20.86,Q1 Q1Q1
PSYCHOLOGICAL BULLETIN,20.838,Q1 Q1Q1
ACCOUNTS OF CHEMICAL RESEARCH,20.834,Q1
Nature Reviews Nephrology,20.711,Q1
JOURNAL OF THE AMERICAN COLLEGE OF CARDIOLOGY,20.589,Q1
JOURNAL OF HEPATOLOGY,20.582,Q1
CELL RESEARCH,20.507,Q1
