title,networkStatus,link
Blockchain-enabled trustworthy federated unlearning,403,
Bayesian Variational Federated Learning and Unlearning in Decentralized Networks,403,
Decentralized federated unlearning on blockchain,403,
Federated unlearning: a perspective of stability and fairness,403,
Scalable federated unlearning via isolated and coded sharding,403,
Strategic data revocation in federated unlearning,403,
QuickDrop: efficient federated unlearning by integrated dataset distillation,403,
SecureCut: federated gradient boosting decision trees with efficient machine unlearning,403,
Federated unlearning via active forgetting,403,
Federated unlearning with knowledge distillation,403,
Incentive Mechanism Design for Federated Learning and Unlearning,403,
Forget-SVGD: Particle-Based Bayesian Federated Unlearning,403,
Federated Unlearning: Guarantee the Right of Clients to Forget,403,
Validation of?Federated Unlearning on?Collaborative Prostate Segmentation,403,
VeriFi: Towards Verifiable Federated Unlearning,403,
Federated Unlearning via Class-Discriminative Pruning,403,
Exact-Fun: An Exact and Efficient Federated Unlearning Approach,403,
Compressed particle-based federated bayesian learning and unlearning,403,
Federated Unlearning for Human Activity Recognition,403,
Federated Unlearning for On-Device Recommendation,403,
Federated unlearning with momentum degradation,403,
Subspace based Federated Unlearning,403,
FedME<sup>2</sup>: Memory Evaluation & Erase Promoting Federated Unlearning in DTMN,403,
Efficient Vertical Federated Unlearning via Fast Retraining,403,
Mitigating Poor Data Quality Impact with Federated Unlearning for Human-Centric Metaverse,403,
Towards Efficient and Robust Federated Unlearning in IoT Networks,403,
FAST: Adopting Federated Unlearning to Eliminating Malicious Terminals at Server Side,403,
Fast federated machine unlearning with nonlinear functional theory,403,
Server-Initiated Federated Unlearning to Eliminate Impacts of Low-Quality Data,403,
Federated Unlearning and Server Right to Forget: Handling Unreliable Client Contributions,403,
Edge Caching with Federated Unlearning for Low-latency V2X Communications,403,
Client-Free Federated Unlearning via Training Reconstruction with Anchor Subspace Calibration,403,
A Revocation Key-based Approach Towards Efficient Federated Unlearning,403,
ECG Classifiction Based on Federated Unlearning,403,
Get Rid Of Your Trail: Remotely Erasing Backdoors in Federated Learning,403,
Learning and Unlearning Your Data in Federated Settings,403,
Towards Efficient and Certified Recovery from Poisoning Attacks in Federated Learning,403,
Privacy-Preserving Federated Unlearning with Certified Client Removal,403,
