title,networkStatus,link
Trusted AI in multi-agent systems: an overview of privacy and security for distributed learning,,
Blockchain-enabled trustworthy federated unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Blockchain-enabled%20trustworthy%20federated%20unlearning
Bayesian Variational Federated Learning and Unlearning in Decentralized Networks,,https://paperswithcode.com/search?q_meta=&q_type=&q=Bayesian%20Variational%20Federated%20Learning%20and%20Unlearning%20in%20Decentralized%20Networks
SoK: challenges and opportunities in federated unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=SoK:%20challenges%20and%20opportunities%20in%20federated%20unlearning
Decentralized federated unlearning on blockchain,,https://paperswithcode.com/search?q_meta=&q_type=&q=Decentralized%20federated%20unlearning%20on%20blockchain
Federated unlearning: a perspective of stability and fairness,,https://paperswithcode.com/search?q_meta=&q_type=&q=Federated%20unlearning:%20a%20perspective%20of%20stability%20and%20fairness
Scalable federated unlearning via isolated and coded sharding,,https://paperswithcode.com/search?q_meta=&q_type=&q=Scalable%20federated%20unlearning%20via%20isolated%20and%20coded%20sharding
How to forget clients in federated online learning to rank?,,https://paperswithcode.com/search?q_meta=&q_type=&q=How%20to%20forget%20clients%20in%20federated%20online%20learning%20to%20rank?
Communication efficient and provable federated unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Communication%20efficient%20and%20provable%20federated%20unlearning
Strategic data revocation in federated unlearning,,
QuickDrop: efficient federated unlearning by integrated dataset distillation,,https://paperswithcode.com/search?q_meta=&q_type=&q=QuickDrop:%20efficient%20federated%20unlearning%20by%20integrated%20dataset%20distillation
SecureCut: federated gradient boosting decision trees with efficient machine unlearning,,https://paperswithcode.com/search?q_meta=&q_type=&q=SecureCut:%20federated%20gradient%20boosting%20decision%20trees%20with%20efficient%20machine%20unlearning
FRAMU: attention-based machine unlearning using federated reinforcement learning,,https://paperswithcode.com/search?q_meta=&q_type=&q=FRAMU:%20attention-based%20machine%20unlearning%20using%20federated%20reinforcement%20learning
Incentivized federated learning and unlearning,,
Tangent model composition for ensembling and continual fine-tuning,,https://paperswithcode.com/search?q_meta=&q_type=&q=Tangent%20model%20composition%20for%20ensembling%20and%20continual%20fine-tuning
Federated unlearning via active forgetting,,https://paperswithcode.com/search?q_meta=&q_type=&q=Federated%20unlearning%20via%20active%20forgetting
"On knowledge editing in federated learning: perspectives, challenges, and future directions",,"https://paperswithcode.com/search?q_meta=&q_type=&q=On%20knowledge%20editing%20in%20federated%20learning:%20perspectives,%20challenges,%20and%20future%20directions"
